Evaluation,mean,median,count,prop_0_0p5,prop_0p5_1,prop_0.5_3,prop_0.5_5,prop_0.5_30,prop_1_3,prop_1_5,prop_1_30,prop_3_30,prop_5_30,prop_gt10,prop_sum_check
NV-NCD-RW-22539_2022-05-15,0.5507615251255666,0.35943820603777854,8785,0.6095617529880478,0.3029026750142288,0.37063175867956744,0.38679567444507684,0.3904382470119522,0.06772908366533864,0.08389299943084803,0.0875355719977234,0.019806488332384745,0.003642572566875356,0,2.3229368241320434
NV-NCD-RW-22559_2022-07-21,0.28306413355179466,0.2800000011920929,842,1,0,0,0,0,0,0,0,0,0,0,1
NV-WND-RW-23611_2023-09-16,0.15153728735463015,0.14000000059604645,9172,0.9998909725250763,1.0902747492368077e-4,1.0902747492368077e-4,1.0902747492368077e-4,1.0902747492368077e-4,0,0,0,0,0,0,1.0003270824247708
NV-WND-RW-24840_2024-08-14,1.2435323819933164,0.6086046667986138,5744,0.46674791086350975,0.10846100278551532,0.40215877437325903,0.5294220055710307,0.5332520891364902,0.29369777158774374,0.42096100278551535,0.42479108635097496,0.1310933147632312,0.00383008356545961,0,3.31441504178273
NV-WND-RW-23638_2024-07-19,0.03904651801595106,0.02999999932944774,6922,1,0,0,0,0,0,0,0,0,0,0,1
CA-APFO-TW-23085_2023-07-09,0.08644502603800001,0.07000000029802322,7640,0.9965968586387435,0.0034031413612565444,0.0034031413612565444,0.0034031413612565444,0.0034031413612565444,0,0,0,0,0,0,1.0102094240837696
CA-APFO-TW-23093_2023-06-24,0.16568218609216015,0.1599999964237213,5563,0.9974833722811433,0.002516627718856732,0.002516627718856732,0.002516627718856732,0.002516627718856732,0,0,0,0,0,0,1.00754988315657
CA-ELFO-TW-22090_2023-07-07,0.04817328710909519,0.05000000074505806,3197,1,0,0,0,0,0,0,0,0,0,0,1
CA-APFO-TW-22098_2022-07-20,0.31852970953910015,0.23999999463558197,5924,0.8350776502363269,0.14972991222147197,0.1649223497636732,0.1649223497636732,0.1649223497636732,0.015192437542201216,0.015192437542201216,0.015192437542201216,0,0,0,1.525151924375422
CA-ELFO-TW-22090_2022-09-22,0.04817328710909519,0.05000000074505806,3197,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22090_2024-07-05,0.04817328710909519,0.05000000074505806,3197,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22090_2024-09-28,0.04817328710909519,0.05000000074505806,3197,1,0,0,0,0,0,0,0,0,0,0,1
NV-NOD-RW-23677_2023-07-22,0.06959011598414373,0.05999999865889549,3440,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22108_2022-07-11,0.0812149806911045,0.07000000029802322,3391,0.9890887643762902,0.01091123562370982,0.01091123562370982,0.01091123562370982,0.01091123562370982,0,0,0,0,0,0,1.0327337068711293
NV-NOD-RW-22533_2022-06-12,0.2445785876562684,0.2199999988079071,7463,0.9567198177676538,0.04328018223234624,0.04328018223234624,0.04328018223234624,0.04328018223234624,0,0,0,0,0,0,1.129840546697039
NV-NOD-RW-22524_2022-08-06,1.7039736243232804,1.7647457486492093,5763,0.1523512059691133,0.13291688356758632,0.769390942217595,0.8476487940308867,0.8476487940308867,0.6364740586500087,0.7147319104633003,0.7147319104633003,0.07825785181329169,0,0,4.894152351205968
NV-NOD-RW-24672_2024-08-01,0.3424189185962786,0.30000001192092896,5920,0.8462837837837838,0.15371621621621623,0.15371621621621623,0.15371621621621623,0.15371621621621623,0,0,0,0,0,0,1.4611486486486487
NV-WND-RW-23651_2023-09-15,1.592626649392257,1.5502173434133115,6514,0.045440589499539455,0.1828369665336199,0.9100399140313171,0.9545594105004606,0.9545594105004606,0.7272029474976973,0.7717224439668406,0.7717224439668406,0.04451949646914338,0,0,5.36260362296592
NV-NCD-RW-23546_2023-08-07,1.3505375791391618,0.4799999982118607,1916,0.505741127348643,0.13517745302713988,0.31941544885177453,0.44572025052192066,0.494258872651357,0.18423799582463465,0.3105427974947808,0.35908141962421714,0.17484342379958245,0.048538622129436326,0,2.9775574112734864
